,date,expName,psychopyVersion,OS,frameRate,idm_task,item,cdd_trial_type,cdd_conf_resp.keys,cdd_conf_resp.rt,cdd_immed_amt,cdd_immed_wait,cdd_delay_amt,cdd_delay_wait,cdd_choice,cdd_choice2,cdd_trial_resp.keys,cdd_trial_resp.corr,cdd_trial_resp.rt,cdd_delta_time,cdd_iti_time,cdd_trials1.thisTrialN,cdd_trials1.thisIndex,cdd_catch_trial,cdd_bonus_choice,cdd_bonus_amount,cdd_bonus_delay
1028,2023-01-30_23h45.21.772,idm-v2,2022.2.4,Win32,40.01760775,cdd,3.0,task,4.0,0.2369,15.0,0.0,20.0,11.0,1.0,delay,1.0,0.0,0.0079,1.9921,3.623660851,85.0,2.0,0.0,,,
1029,2023-01-30_23h45.21.772,idm-v2,2022.2.4,Win32,40.01760775,cdd,68.0,task,4.0,0.3959,2.0,0.0,43.0,4.0,1.0,delay,1.0,0.0,0.0802,1.9198,3.318000526,86.0,67.0,0.0,,,
1030,2023-01-30_23h45.21.772,idm-v2,2022.2.4,Win32,40.01760775,cdd,37.0,task,4.0,0.3867,5.0,0.0,65.0,4.0,1.0,delay,1.0,0.0,0.0066,1.9934,2.216736465,87.0,36.0,0.0,,,
1031,2023-01-30_23h45.21.772,idm-v2,2022.2.4,Win32,40.01760775,cdd,70.0,task,4.0,1.0402,2.0,0.0,7.0,11.0,1.0,delay,1.0,0.0,0.0072,1.9928,3.693686967,88.0,69.0,0.0,,,
1032,2023-01-30_23h45.21.772,idm-v2,2022.2.4,Win32,40.01760775,cdd,46.0,task,4.0,0.3293,5.0,0.0,45.0,29.0,1.0,delay,1.0,0.0,0.007,1.993,3.46020306,89.0,45.0,0.0,,,
1033,2023-01-30_23h45.21.772,idm-v2,2022.2.4,Win32,40.01760775,cdd,60.0,task,4.0,0.5435,5.0,0.0,24.0,151.0,0.0,immed,2.0,1.0,0.0069,1.9931,2.799065327,90.0,59.0,0.0,,,
1034,2023-01-30_23h45.21.772,idm-v2,2022.2.4,Win32,40.01760775,cdd,44.0,task,4.0,0.3885,5.0,0.0,15.0,31.0,1.0,delay,2.0,0.0,0.0798,1.9202,3.14687758,91.0,43.0,0.0,,,
1035,2023-01-30_23h45.21.772,idm-v2,2022.2.4,Win32,40.01760775,cdd,27.0,task,4.0,0.3914,15.0,0.0,65.0,30.0,1.0,delay,2.0,0.0,0.0072,1.9928,3.297657242,92.0,26.0,0.0,,,
1036,2023-01-30_23h45.21.772,idm-v2,2022.2.4,Win32,40.01760775,cdd,66.0,task,4.0,0.4278,2.0,0.0,13.0,6.0,1.0,delay,2.0,0.0,0.1177,1.8823,3.299264759,93.0,65.0,0.0,,,
1037,2023-01-30_23h45.21.772,idm-v2,2022.2.4,Win32,40.01760775,cdd,55.0,task,4.0,0.5815,5.0,0.0,25.0,89.0,0.0,immed,2.0,1.0,0.0076,1.9924,3.301580982,94.0,54.0,0.0,,,
1038,2023-01-30_23h45.21.772,idm-v2,2022.2.4,Win32,40.01760775,cdd,69.0,task,4.0,0.6178,2.0,0.0,65.0,4.0,1.0,delay,2.0,0.0,0.0793,1.9207,3.443844018,95.0,68.0,0.0,,,
